MJD,mag,emag
5.345221967000002041e+04,1.239374999999999893e+01,2.116010396949882799e-02
5.345319313000002876e+04,1.233149999999999835e+01,2.233271143412729476e-02
5.345426858999999240e+04,1.233924999999999983e+01,2.108909670896313981e-02
5.345826887999987230e+04,1.239949999999999974e+01,1.605848685275172716e-02
5.346028042999980971e+04,1.232950000000000124e+01,1.805027700618469857e-02
5.346320055000018328e+04,1.232225000000000037e+01,1.938104744331430734e-02
5.346525461999978870e+04,1.237224999999999753e+01,2.003278562756562881e-02
5.346822880000015721e+04,1.237574999999999825e+01,1.709897657756159414e-02
5.347024428000021726e+04,1.238599999999999923e+01,1.913929204542320558e-02
5.347229120999993756e+04,1.236799999999999855e+01,1.517399090549351702e-02
5.347436376000009477e+04,1.232575000000000109e+01,2.086264604502506559e-02
5.347509416999993846e+04,1.235074999999999967e+01,1.852363355284270333e-02
5.347509742000000551e+04,1.228749999999999964e+01,1.791123948809796723e-02
5.347510075000021607e+04,1.236349999999999838e+01,1.706787918869828377e-02
5.347510395999997854e+04,1.237525000000000119e+01,2.079212591343174849e-02
5.347510723000019789e+04,1.237824999999999953e+01,1.817793992728548857e-02
5.347511049999995157e+04,1.231799999999999962e+01,1.840686013419996422e-02
5.347511287999991328e+04,1.233974999999999866e+01,2.032855135025611951e-02
5.347511941999988630e+04,1.243475000000000108e+01,2.098660286944983161e-02
5.347512266999995336e+04,1.240024999999999977e+01,1.932938178007770694e-02
5.347513243000023067e+04,1.241024999999999956e+01,2.063068103577775717e-02
5.347513571000006050e+04,1.240249999999999986e+01,1.985887710823550090e-02
5.347532585000013933e+04,1.217450000000000010e+01,2.064279535334301308e-02
5.347535646999999881e+04,1.224474999999999980e+01,2.057607834355225027e-02
5.347605822000000626e+04,1.229300000000000104e+01,2.620710781448422344e-02
5.347615271000005305e+04,1.223099999999999987e+01,2.131020882112608442e-02
5.347617943000001833e+04,1.232925000000000182e+01,2.582876303658384817e-02
5.347715136000001803e+04,1.230925000000000047e+01,2.273076109592461411e-02
5.347919650000007823e+04,1.232424999999999926e+01,2.185320342650019787e-02
5.348119702999992296e+04,1.231524999999999892e+01,1.798089263635151147e-02
5.348318645999999717e+04,1.223450000000000060e+01,1.821228980661135713e-02
5.349615762000018731e+04,1.231874999999999964e+01,1.503121751555741396e-02
5.349916171000013128e+04,1.237325000000000053e+01,1.543534904043313179e-02
5.350120984000014141e+04,1.231700000000000017e+01,2.430277761902947808e-02
5.350319921999983490e+04,1.228549999999999898e+01,1.969930201809190831e-02
5.350597138000000268e+04,1.228299999999999947e+01,1.610318291518791911e-02
5.350597385000018403e+04,1.223949999999999960e+01,2.180022935659163899e-02
5.350605796999996528e+04,1.231675000000000075e+01,2.085365675367272312e-02
5.350608642000006512e+04,1.240675000000000061e+01,2.022683860616878576e-02
5.350617976999981329e+04,1.230999999999999872e+01,1.785182063544219974e-02
5.350620465000020340e+04,1.224949999999999939e+01,1.626921940352394486e-02
5.350620744000002742e+04,1.236449999999999960e+01,1.976423537605237132e-02
5.350623552000010386e+04,1.239974999999999916e+01,1.768473918382739221e-02
5.350626458999980241e+04,1.229825000000000124e+01,1.650946698109905658e-02
5.350629370999988168e+04,1.234574999999999889e+01,1.833712082089224843e-02
5.350632341999979690e+04,1.238575000000000159e+01,1.728257793270436896e-02
5.350635392000013962e+04,1.227925000000000111e+01,1.678727196419954257e-02
5.350822514999983832e+04,1.231949999999999790e+01,1.492899862683361688e-02
5.350825585999991745e+04,1.232600000000000051e+01,1.530318594280288998e-02
5.350828716999990866e+04,1.226675000000000004e+01,1.554630181104175134e-02
5.350920177000015974e+04,1.230699999999999861e+01,1.688749537379655510e-02
5.352215278000012040e+04,1.227875000000000050e+01,2.170109444244690614e-02
5.352418634000001475e+04,1.234200000000000053e+01,1.776407892349051582e-02
5.352617170999990776e+04,1.236199999999999832e+01,2.057607834355225374e-02
5.352817488999990746e+04,1.234149999999999991e+01,1.984785882658378700e-02
5.353018916000006720e+04,1.237300000000000111e+01,1.898189927272821501e-02
5.353718661999981850e+04,1.240700000000000003e+01,2.052133036623113305e-02
5.354400217000022531e+04,1.242099999999999937e+01,2.139801392653065820e-02
5.354710285999998450e+04,1.232700000000000173e+01,1.758372827360568311e-02
5.355409610999980941e+04,1.233400000000000141e+01,1.453229162933362094e-02
5.355612908999994397e+04,1.230625000000000036e+01,1.723187453529069491e-02
5.355911244999989867e+04,1.230424999999999969e+01,1.617675801883677877e-02
5.356111604000022635e+04,1.231600000000000072e+01,1.726629664983200460e-02
5.356309951000008732e+04,1.234699999999999953e+01,1.525409781009679985e-02
5.356904404000006616e+04,1.231975000000000087e+01,1.626921940352394486e-02
5.357112814999977127e+04,1.230225000000000080e+01,1.702020857686532482e-02
5.357413212000019848e+04,1.233875000000000099e+01,1.641264756216985130e-02
5.357704938000021502e+04,1.228249999999999886e+01,1.728257793270436896e-02
5.358300407999986783e+04,1.226524999999999999e+01,2.256656819279351592e-02
5.358706003999989480e+04,1.233949999999999925e+01,1.620185174601964859e-02
5.358907457999978215e+04,1.228200000000000003e+01,1.650946698109905658e-02
5.359199862999981269e+04,1.229625000000000057e+01,1.897201886990417322e-02
5.360204618000006303e+04,1.228500000000000192e+01,2.238582140552363223e-02
5.360600108999991789e+04,1.232400000000000162e+01,1.836777068672189317e-02
5.361502358999988064e+04,1.241624999999999979e+01,1.807276957192781655e-02
5.362798344000009820e+04,1.237000000000000099e+01,1.790949468857231525e-02
5.371935534999985248e+04,1.231124999999999936e+01,1.917191957003784239e-02
5.372734673999994993e+04,1.239300000000000068e+01,1.926460484930848580e-02
5.373435101999994367e+04,1.224124999999999908e+01,2.016649448962312685e-02
5.373834100000001490e+04,1.221525000000000105e+01,2.059884705511451711e-02
5.374233854999998584e+04,1.239450000000000074e+01,2.132779876124115889e-02
5.375032855000020936e+04,1.220550000000000068e+01,2.430920607506547454e-02
5.375431509000016376e+04,1.239749999999999908e+01,1.678913339038081570e-02
5.376336508999997750e+04,1.236174999999999891e+01,1.955441126702616925e-02
5.376732162000006065e+04,1.238925000000000054e+01,2.182744831628287072e-02
5.377231134000001475e+04,1.224174999999999969e+01,1.688564479076828245e-02
5.377533276000013575e+04,1.243850000000000122e+01,1.842213342694053874e-02
5.378333149999985471e+04,1.243374999999999986e+01,2.327418097377435130e-02
5.378736288999998942e+04,1.236650000000000027e+01,1.754636714536658704e-02
5.379029465000005439e+04,1.233649999999999913e+01,2.227807217871420956e-02
5.379628574999980628e+04,1.239424999999999955e+01,2.195165141851519036e-02
5.379926605000020936e+04,1.249450000000000038e+01,1.805547008526778990e-02
5.380429893000004813e+04,1.235899999999999999e+01,2.126323117496491805e-02
5.380735149999987334e+04,1.232925000000000004e+01,1.915887522794592485e-02
5.381024775000009686e+04,1.238449999999999918e+01,1.968660712261003157e-02
5.381429217999987304e+04,1.226550000000000118e+01,2.240675121475668025e-02
