# MJD,Flux,Eflux
5.860501614025173330e+04,1.009054397555998905e+00,8.795123531220316610e-04
5.860503697371591988e+04,9.954252755769088523e-01,8.800972004226081296e-04
5.860505780718137976e+04,1.010857582499222529e+00,8.805471041484084008e-04
5.860509947411563917e+04,9.969533730268816951e-01,8.822007045316285429e-04
5.860512030758416222e+04,9.963465933868472790e-01,8.828040564916374853e-04
5.860516197452304186e+04,1.010431008826071064e+00,8.840969034470351874e-04
5.860518280799296917e+04,1.010791347041092081e+00,8.853387080389573793e-04
5.860520364146288921e+04,1.006940719601961076e+00,8.853591973189411934e-04
5.860524530840168882e+04,9.933592360982472780e-01,8.866279754008196505e-04
5.860526614187003725e+04,1.005330437920343822e+00,8.869285020799258555e-04
5.860528697533733794e+04,9.997078548008544452e-01,8.876928483314698885e-04
5.860530780880332168e+04,1.003615417235376173e+00,8.872829971438468558e-04
5.860532864226775564e+04,1.011383772582596041e+00,8.911573521825180179e-04
5.860534947573039972e+04,1.005409284524894309e+00,8.884666804576042990e-04
5.860537030919104291e+04,9.975527690697690852e-01,8.896909306281043650e-04
5.860539114264950331e+04,9.978368857754555954e-01,8.892540332663637515e-04
5.860541197610561358e+04,1.007740382795100365e+00,8.909985285775574252e-04
5.860543280955924274e+04,9.972327922485544338e-01,8.900992312881060619e-04
5.860545364301028894e+04,1.007800333218688893e+00,8.912531434072106396e-04
5.860549530990437779e+04,9.943390285139562801e-01,8.914816539206347210e-04
5.860551614334739133e+04,1.011647951575151083e+00,8.909587929288279202e-04
5.860553697678774915e+04,1.000287410298309476e+00,8.944876830639661913e-04
5.860555781022552401e+04,9.967057666893210932e-01,8.939792715116376496e-04
5.860557864366081776e+04,9.936385809852892326e-01,8.943874596313248224e-04
5.860559947709376138e+04,1.005047745225366329e+00,8.939891503936933572e-04
5.860562031052452221e+04,9.931951498482434193e-01,8.947094161504633072e-04
5.860564114395328215e+04,9.958147924738425250e-01,8.951091837272180619e-04
5.860566197738025949e+04,9.994491502599247568e-01,8.955991177460165655e-04
5.860568281080567976e+04,1.000749117141290334e+00,8.971747254304023120e-04
5.860570364422979765e+04,9.948222111592132100e-01,8.954188507815087584e-04
5.860572447765286051e+04,1.005409841861198306e+00,8.964620565854159286e-04
5.860574531107513758e+04,1.002642470379148110e+00,8.968291719657629476e-04
5.860578697791839659e+04,1.005091543823986688e+00,8.979491231618627525e-04
5.860582864476164104e+04,1.004296047280837101e+00,8.986446805847193159e-04
5.860584947818386718e+04,9.960831240338551273e-01,8.978318892406801990e-04
5.860587031160676997e+04,9.960901457254967006e-01,8.980644970092687687e-04
5.860589114503055316e+04,9.892683552039628347e-01,8.983115117342462853e-04
5.860591197845536954e+04,1.000282974947938053e+00,8.977112147147327942e-04
5.860593281188134279e+04,1.004500674892556455e+00,8.988467917954202652e-04
5.860595364530858933e+04,9.981326932134932939e-01,8.990131060350132824e-04
5.860597447873716010e+04,1.006666453784465842e+00,8.996824334884398694e-04
5.860601614559839800e+04,1.001392966088611836e+00,8.974263093644336978e-04
5.860603697903101420e+04,9.924990222537749540e-01,8.987907922189149320e-04
5.860605781246488914e+04,9.994918989060488368e-01,8.990045085323591402e-04
5.860607864589990641e+04,9.982753000069346516e-01,8.986446877581856724e-04
5.860609947933594231e+04,1.011969689448242615e+00,8.983523716721834211e-04
5.860612031277282222e+04,1.002096378819739231e+00,8.996960400854275581e-04
5.860616197964833555e+04,9.892872739666640491e-01,8.985686171004154520e-04
