# HJD mag emag
5.610797217000000092e+04 1.237599999999999945e+01 8.000000000000000167e-03
5.610797458999999799e+04 1.236899999999999977e+01 8.000000000000000167e-03
5.610797697999999946e+04 1.237199999999999989e+01 8.000000000000000167e-03
5.610797937999999704e+04 1.237199999999999989e+01 8.000000000000000167e-03
5.610798178999999800e+04 1.239799999999999969e+01 8.000000000000000167e-03
5.610798421000000235e+04 1.237400000000000055e+01 8.000000000000000167e-03
5.610798659999999654e+04 1.237800000000000011e+01 8.000000000000000167e-03
5.610798902000000089e+04 1.238599999999999923e+01 8.000000000000000167e-03
5.610799143000000186e+04 1.236599999999999966e+01 8.000000000000000167e-03
5.610799382999999943e+04 1.237899999999999956e+01 8.000000000000000167e-03
5.610799609000000055e+04 1.241099999999999959e+01 8.999999999999999320e-03
5.610799822999999742e+04 1.236800000000000033e+01 8.000000000000000167e-03
5.610800039000000106e+04 1.237800000000000011e+01 8.000000000000000167e-03
5.610800252999999793e+04 1.237700000000000067e+01 8.000000000000000167e-03
5.610800467999999819e+04 1.235699999999999932e+01 8.000000000000000167e-03
5.610800682000000234e+04 1.238100000000000023e+01 8.000000000000000167e-03
5.610800897999999870e+04 1.236400000000000077e+01 8.000000000000000167e-03
5.610801112999999896e+04 1.237500000000000000e+01 8.999999999999999320e-03
5.610801327999999921e+04 1.237899999999999956e+01 8.000000000000000167e-03
5.610801542000000336e+04 1.237700000000000067e+01 8.000000000000000167e-03
5.610896222000000125e+04 1.238700000000000045e+01 8.000000000000000167e-03
5.610896461999999883e+04 1.239799999999999969e+01 8.000000000000000167e-03
5.610896704000000318e+04 1.237500000000000000e+01 8.000000000000000167e-03
5.610896944999999687e+04 1.237800000000000011e+01 8.000000000000000167e-03
5.610897185999999783e+04 1.236999999999999922e+01 8.000000000000000167e-03
5.610897428000000218e+04 1.237899999999999956e+01 8.000000000000000167e-03
5.610897669999999925e+04 1.239000000000000057e+01 8.000000000000000167e-03
5.610897909999999683e+04 1.235999999999999943e+01 8.000000000000000167e-03
5.610898152000000118e+04 1.237199999999999989e+01 8.000000000000000167e-03
5.610898393999999826e+04 1.238899999999999935e+01 8.000000000000000167e-03
5.610898636000000261e+04 1.237299999999999933e+01 8.000000000000000167e-03
5.610898877000000357e+04 1.237199999999999989e+01 8.000000000000000167e-03
5.610899119000000064e+04 1.238400000000000034e+01 8.000000000000000167e-03
5.610899345000000176e+04 1.240399999999999991e+01 8.000000000000000167e-03
5.610899560000000201e+04 1.238199999999999967e+01 8.000000000000000167e-03
5.610899773999999888e+04 1.238799999999999990e+01 8.000000000000000167e-03
5.610899988000000303e+04 1.238000000000000078e+01 8.999999999999999320e-03
5.610900200999999652e+04 1.237899999999999956e+01 8.000000000000000167e-03
5.610900415000000066e+04 1.238000000000000078e+01 8.000000000000000167e-03
5.610900628999999753e+04 1.237400000000000055e+01 8.000000000000000167e-03
5.610900843000000168e+04 1.235399999999999920e+01 8.000000000000000167e-03
