# MJD,Non_Corr_Flux,Corr_Flux,Eflux,Telescope
5.245200158999999985e+04,1.115257544664876699e+00,9.941924632264163009e-01,1.597141649014413231e-02,1.000000000000000000e+00
5.245403886999981478e+04,1.011055904792882210e+00,1.000478127692780994e+00,1.610611702573918128e-02,1.000000000000000000e+00
5.245899723999993876e+04,1.066780749108004800e+00,1.002707292624381852e+00,1.487247782439284766e-02,1.000000000000000000e+00
5.246399043999984860e+04,1.030089997145412051e+00,9.847005598684843708e-01,1.667076040278678284e-02,1.000000000000000000e+00
5.246598663999978453e+04,1.021821814185112753e+00,9.571422429110236774e-01,1.555953081368001943e-02,1.000000000000000000e+00
5.246801269999984652e+04,1.028194247833615904e+00,9.547668927210447576e-01,1.485856741224727239e-02,1.000000000000000000e+00
5.246999900999991223e+04,9.291271909391474182e-01,1.016335742030483713e+00,1.771454577048158993e-02,1.000000000000000000e+00
5.249399729999992996e+04,1.030327211441857571e+00,1.005823042686766033e+00,1.850602611640756248e-02,1.000000000000000000e+00
5.249697112999996170e+04,1.011754558747994359e+00,9.835999644336164138e-01,1.790216203902828332e-02,1.000000000000000000e+00
5.249899878000002354e+04,9.835018244705826529e-01,9.985542396720489267e-01,1.705899645243116186e-02,1.000000000000000000e+00
5.262335525000002235e+04,9.810139202328476138e-01,1.047666222947735815e+00,1.715427728251381692e-02,1.000000000000000000e+00
5.263533658999996260e+04,1.043939113996651180e+00,9.830232090188465444e-01,1.359275678302234933e-02,1.000000000000000000e+00
5.263933442000020295e+04,1.032464599830495988e+00,1.042334180410859901e+00,1.446562648248473151e-02,1.000000000000000000e+00
5.264332843000022694e+04,1.009660043888719771e+00,9.809359600661449186e-01,1.574131129146569275e-02,1.000000000000000000e+00
5.264632671000016853e+04,1.024885077804317479e+00,9.976950424535099282e-01,1.390853488321347996e-02,1.000000000000000000e+00
5.265234126000013202e+04,1.072692316609181518e+00,1.002158311329347518e+00,1.368962605707407278e-02,1.000000000000000000e+00
5.265735313000017777e+04,9.472730241309909038e-01,9.721305755514320079e-01,1.577181561287253550e-02,1.000000000000000000e+00
5.266229431999986991e+04,1.031514102579203396e+00,1.006854503952237190e+00,1.693431110537093470e-02,1.000000000000000000e+00
5.266432248000008985e+04,1.044660490715223045e+00,9.906737765980646593e-01,1.386127109592085946e-02,1.000000000000000000e+00
5.266732384000020102e+04,1.029378681891722547e+00,9.571251759287459082e-01,1.395959857174230122e-02,1.000000000000000000e+00
5.267033235999988392e+04,9.783070200413728212e-01,1.024747342126850036e+00,1.403489780811916637e-02,1.000000000000000000e+00
5.267331846000021324e+04,1.001094717907403675e+00,9.810109251086269744e-01,1.354423638634296746e-02,1.000000000000000000e+00
5.267629007000010461e+04,1.133901082507662084e+00,9.837749707828175039e-01,1.389768015383533416e-02,1.000000000000000000e+00
5.267831046999990940e+04,1.032226893438844995e+00,1.001281416924946877e+00,1.514448946412082393e-02,1.000000000000000000e+00
