HJD,mag,emag
56129.9788719998,12.25339,0.013668
56129.978964,12.432349,0.016014
56129.979057,12.380555,0.018045
56131.0107229999,12.337722,0.01287
56131.010828,12.348896,0.012885
56131.0109089999,12.33383,0.012748
56131.9789410001,12.349672,0.012748
56131.9790449999,12.364195,0.012776
56131.9791259998,12.335699,0.012667
56132.97945,12.307495,0.012598
56132.979543,12.336123,0.012551
56132.9796350002,12.361312,0.012998
56134.9797510002,12.342506,0.012694
56134.979855,12.365579,0.012876
56134.979936,12.319629,0.012742
56135.9805029999,12.368803,0.014656
56135.980608,12.403214,0.015022
56135.9807000002,12.381304,0.014761
56137.0431189998,12.354353,0.014095
56137.0432230001,12.37722,0.014253
56137.0433390001,12.376682,0.014141
56137.9807350002,12.381313,0.014371
56137.980862,12.363833,0.014243
56137.980955,12.36286,0.014203
56138.981071,12.308361,0.014068
56138.9811860002,12.327604,0.014228
56138.9812909998,12.337283,0.014142
56139.9813140002,12.408486,0.014757
56139.981441,12.352666,0.014548
56139.9815449999,12.400839,0.015702
56146.1315569999,12.280443,0.013288
56146.1316610002,12.272883,0.013043
56146.1317650001,12.282203,0.013198
56146.9840569999,12.453883,0.01537
56146.9841490001,12.504128,0.015684
56147.984462,12.357865,0.013159
56147.9845540002,12.351315,0.01299
56147.9846589998,12.408607,0.013336
56148.984797,12.37123,0.013135
56148.98489,12.380899,0.01331
56148.984983,12.342272,0.013094
56150.9853650001,12.334527,0.012889
56150.9854569999,12.323133,0.012851
56150.9855499999,12.312508,0.012786
56151.9854339999,12.286299,0.012565
56151.9855269999,12.319238,0.012763
56151.9856190002,12.281906,0.012622
56153.9863720001,12.341725,0.012799
56153.9864639998,12.374937,0.012916
56153.9865569999,12.365153,0.012851
56157.9879569998,12.298103,0.012446
56157.9880499998,12.26631,0.012301
56157.9881420001,12.320105,0.012641
56158.9880269999,12.365355,0.012816
56158.9881190001,12.350368,0.01273
56158.9882120001,12.354349,0.012708
56160.0016839998,12.430575,0.014471
56160.0017769998,12.454778,0.014702
56160.001869,12.441984,0.014521
56161.001557,12.344065,0.014174
56161.0016490002,12.357458,0.014346
56161.0017530001,12.363744,0.014256
56165.001013,12.356736,0.01286
56165.0011049998,12.375784,0.01301
56165.0012090001,12.340249,0.012837
56165.9899940002,12.360103,0.014081
56165.990098,12.361192,0.014043
56165.9902030001,12.357635,0.014239
