MJD,mag,emag
5.741030731000006199e+04,1.241600000000000037e+01,2.000000000000000042e-02
5.742134482000023127e+04,1.239899999999999913e+01,2.000000000000000042e-02
5.742435115000000224e+04,1.238799999999999990e+01,2.000000000000000042e-02
5.742730429999995977e+04,1.235899999999999999e+01,2.000000000000000042e-02
5.743733198999986053e+04,1.240499999999999936e+01,2.000000000000000042e-02
5.743936457999981940e+04,1.241999999999999993e+01,2.000000000000000042e-02
5.744033386000012979e+04,1.237500000000000000e+01,2.000000000000000042e-02
5.745136748000001535e+04,1.246599999999999930e+01,2.000000000000000042e-02
5.745423669000016525e+04,1.247600000000000087e+01,2.000000000000000042e-02
5.745835436999984086e+04,1.245500000000000007e+01,2.000000000000000042e-02
5.746521451999992132e+04,1.240199999999999925e+01,2.000000000000000042e-02
5.746620296999998391e+04,1.238499999999999979e+01,2.000000000000000042e-02
5.747731840999983251e+04,1.246599999999999930e+01,2.000000000000000042e-02
5.747920496999984607e+04,1.238799999999999990e+01,2.000000000000000042e-02
5.748425524999992922e+04,1.241799999999999926e+01,2.000000000000000042e-02
5.748619350000005215e+04,1.245299999999999940e+01,2.000000000000000042e-02
5.754812149999989197e+04,1.246499999999999986e+01,2.000000000000000042e-02
5.756005345000000671e+04,1.241699999999999982e+01,2.000000000000000042e-02
5.756618958000000566e+04,1.241600000000000037e+01,2.000000000000000042e-02
5.756705415000021458e+04,1.243999999999999950e+01,2.000000000000000042e-02
5.757320269000018016e+04,1.244800000000000040e+01,2.000000000000000042e-02
5.757615381000004709e+04,1.242699999999999960e+01,2.000000000000000042e-02
5.758505323000019416e+04,1.235500000000000043e+01,2.000000000000000042e-02
5.758997253999998793e+04,1.247799999999999976e+01,2.000000000000000042e-02
5.760200688999984413e+04,1.241799999999999926e+01,2.000000000000000042e-02
5.760505894999997690e+04,1.242500000000000071e+01,2.000000000000000042e-02
5.762202037000004202e+04,1.248300000000000054e+01,2.000000000000000042e-02
5.762503249000012875e+04,1.247799999999999976e+01,2.000000000000000042e-02
5.762602916999999434e+04,1.241099999999999959e+01,2.000000000000000042e-02
5.763103624999988824e+04,1.243500000000000050e+01,2.000000000000000042e-02
5.763500743000023067e+04,1.247899999999999920e+01,2.000000000000000042e-02
5.764099770999979228e+04,1.247100000000000009e+01,2.000000000000000042e-02
5.775535367000009865e+04,1.233699999999999974e+01,2.000000000000000042e-02
5.775735803999984637e+04,1.247000000000000064e+01,2.000000000000000042e-02
5.775834615000011399e+04,1.237400000000000055e+01,2.000000000000000042e-02
5.776236630999995396e+04,1.236999999999999922e+01,2.000000000000000042e-02
5.776433850000007078e+04,1.241799999999999926e+01,2.000000000000000042e-02
5.776732435999996960e+04,1.243299999999999983e+01,2.000000000000000042e-02
5.777729493999993429e+04,1.238700000000000045e+01,2.000000000000000042e-02
5.777931000000005588e+04,1.250000000000000000e+01,2.000000000000000042e-02
5.778128960999986157e+04,1.235500000000000043e+01,2.000000000000000042e-02
5.778427890999987721e+04,1.235999999999999943e+01,2.000000000000000042e-02
5.778627410000003874e+04,1.243999999999999950e+01,2.000000000000000042e-02
5.779125974000012502e+04,1.236800000000000033e+01,2.000000000000000042e-02
5.779432939000008628e+04,1.236200000000000010e+01,2.000000000000000042e-02
