HJD,mag,emag
55293.9999799998,14.7948405512161,0.03267
55294.0136850001,14.797680690728,0.03333
55294.0274189999,14.8001208105905,0.03319
55294.0412369999,14.7696093118192,0.0342
55294.0528759998,14.7783097391974,0.03405
55294.0666780002,14.7959406052524,0.035
55294.0761449998,14.7343175782354,0.03524
55294.0857370002,14.734257575288,0.03527
55294.095276,14.7909003576678,0.03635
55294.104752,14.8013308700304,0.03708
55294.1134810001,14.8227619227564,0.03678
55294.1221540002,14.7679392297822,0.03693
55294.1308090002,14.7475982306013,0.03772
55294.8287670002,14.82398,0.03333
55294.8445359999,14.85521,0.03206
55294.855895,14.76826,0.0322
55294.8717240002,14.80484,0.03069
55294.8896400002,14.78808,0.03041
55294.905518,14.81505,0.02991
55294.9190819999,14.81714,0.0306
55294.9370769998,14.83327,0.02963
55294.9549969998,14.82523,0.03017
55294.9713229998,14.8473031282578,0.02773
55294.9965989999,14.8460630673441,0.03239
55296.8263229998,14.76347,0.03238
55296.8430010001,14.73941,0.03161
55296.8544009998,14.77412,0.0298
55296.8701760001,14.76427,0.03027
55296.8880969998,14.76141,0.0304
55296.9048819998,14.78187,0.0298
55296.9184500002,14.79745,0.03023
55296.9364280002,14.73928,0.03002
55296.95438,14.76194,0.03022
55296.9707160001,14.7779297205303,0.0305
55296.9959649998,14.754438566609,0.03194
55297.0096700001,14.7602988544753,0.03133
55297.0234759999,14.7732594911215,0.03251
55297.0372859999,14.7606488716687,0.033
55297.0488709998,14.7790097735842,0.03232
55297.0626719999,14.7592088009302,0.03372
55297.0763679999,14.774199537298,0.03389
55297.0900610001,14.7611188947569,0.03428
55297.8252699999,14.79727,0.03411
55297.8419550001,14.85372,0.03392
55297.8533600001,14.792,0.03225
55297.8691309998,14.8275,0.03379
55297.8870629999,14.81624,0.03222
55297.9038550002,14.81446,0.03103
55297.9174560001,14.83066,0.03088
55297.9375939998,14.80715,0.03163
55297.9534809999,14.80661,0.03131
55297.9782850002,14.8143115076591,0.02881
55297.9941969998,14.7925704397047,0.02955
55298.00801,14.8332924400314,0.03097
55298.0218159999,14.8445229916932,0.03148
55298.035623,14.7851200737314,0.03241
55298.0472209998,14.8494732348567,0.03291
55298.061036,14.8158915852749,0.03372
55298.0747309998,14.8358125638237,0.0336
55298.088424,14.85579354532,0.03283
55298.1021190002,14.840502794215,0.03491
55298.1158119999,14.7867001513472,0.0363
55298.131579,14.7546685779076,0.03775
55298.824397,14.8058,0.03174
55298.8411300001,14.79882,0.03209
55298.852531,14.77634,0.03281
55298.8683099998,14.815,0.02963
55298.8862419999,14.79725,0.03172
55298.905088,14.78755,0.02951
55298.9186559999,14.74861,0.0287
55298.9366009999,14.82436,0.02974
55298.9524759999,14.73613,0.02978
55298.9772959999,14.8261420887953,0.03065
55298.9909919999,14.7729194744194,0.03124
55299.0048099998,14.8355125490866,0.03146
55299.0186219998,14.7734695014376,0.03212
55299.0324309999,14.804031002665,0.03213
55299.044026,14.7494783229543,0.03296
55299.0578330001,14.8107613332691,0.03341
55299.0715259998,14.7818199116224,0.03337
55299.085252,14.7822899347107,0.03357
55299.09895,14.7617989281612,0.03381
55299.1126540001,14.8413728369528,0.0352
55299.1283999998,14.7909203586502,0.03699
55299.8252110002,14.73948,0.03505
55299.8366109999,14.77305,0.03397
55299.8524150001,14.75316,0.03135
55299.8703379999,14.744,0.02956
55299.8861989998,14.75639,0.03036
55299.89977,14.7373,0.02928
55299.9177689999,14.76272,0.02969
55299.935699,14.78591,0.03002
55299.951568,14.77094,0.02893
55299.9763790001,14.8144715155189,0.03004
55299.9900759999,14.7407878960673,0.03067
55300.0038999999,14.7715094051546,0.03054
55300.017645,14.7798498148483,0.03041
55300.031527,14.7460981569154,0.03166
55300.043118,14.7622689512495,0.03334
55300.058985,14.762748974829,0.03267
55300.072679,14.7894402859468,0.03415
55300.0863709999,14.7473082163554,0.03354
55300.1000620001,14.754728580855,0.03691
55300.1137640001,14.7716694130145,0.03518
55302.9335110001,14.75844,0.03148
55303.8041480002,14.76415,0.03267
55303.8199089998,14.76832,0.03345
55303.8313259999,14.78741,0.03146
55303.8471130002,14.78329,0.03067
55303.8650409998,14.76326,0.03072
55303.8809159999,14.76955,0.03072
55303.8944970001,14.82004,0.03126
55303.9124969998,14.76086,0.03074
55303.9304260002,14.77222,0.0312
55303.9467679998,14.8162616034508,0.03054
55303.9720450002,14.7977006917105,0.03171
55303.985756,14.8026809363477,0.03154
55303.999566,14.7764996502831,0.03126
55304.0133719998,14.7587587788244,0.03138
55304.0249729999,14.7667491713247,0.03231
55304.0387860001,14.7763196414408,0.03253
55304.0524829999,14.7797098079709,0.03294
55304.0661769998,14.7774296959683,0.03415
55304.0798709998,14.797930703009,0.03285
55304.0935729998,14.77114938747,0.03299
55304.1072749998,14.7966106381654,0.03449
55304.7984020002,14.81462,0.03347
55304.816501,14.82836,0.0354
55304.827914,14.83539,0.03127
55304.8437009999,14.78691,0.03277
55304.8616530001,14.80496,0.02966
55304.8775200001,14.79641,0.02868
55304.8910949999,14.79184,0.02945
55304.9090939998,14.78061,0.02825
55304.9270330002,14.80021,0.0284
55304.9433670002,14.8105113209881,0.0286
55304.9686380001,14.8280321816395,0.02818
55304.982359,14.8111113504625,0.02892
55304.9961850001,14.7591487979828,0.02938
55305.009999,14.7806798556211,0.03038
55305.0215870002,14.8144915165014,0.03025
55305.0353970002,14.801520879364,0.03128
55305.049044,14.8871650863379,0.0303
55305.062744,14.8146915263262,0.03163
55305.076442,14.8136914772023,0.03215
55305.0901449998,14.774659559895,0.03328
55305.103846,14.8254820563735,0.03379
55306.796205,14.69766,0.0419
